,year,month,day,min_temp,max_temp,prcp,sndp
268,2016,6,22,66.9,89.1,0.0,999.9
269,2016,7,28,77.0,93.9,0.0,999.9
270,2016,5,18,55.0,69.1,0.0,999.9
271,2016,10,5,55.0,71.1,0.0,999.9
272,2016,1,31,30.0,55.9,0.0,2.0
273,2016,6,2,62.1,82.9,0.0,999.9
274,2016,11,19,48.0,66.9,0.0,999.9
275,2016,1,15,24.1,52.0,0.0,999.9
276,2016,7,2,68.0,81.0,0.28,999.9
277,2016,8,24,66.9,89.1,0.0,999.9
278,2016,6,28,69.1,84.0,0.54,999.9
279,2016,6,30,70.0,87.1,0.0,999.9
280,2016,9,13,64.0,82.0,0.0,999.9
281,2016,4,21,50.0,70.0,0.0,999.9
282,2016,6,12,64.0,90.0,0.1,999.9
283,2016,11,27,43.0,52.0,0.0,999.9
284,2016,12,31,34.0,45.0,0.0,999.9
285,2016,3,14,41.0,64.0,0.02,999.9
286,2016,7,11,68.5,82.0,0.0,999.9
287,2016,10,16,48.9,73.9,0.0,999.9
288,2016,10,8,60.1,77.0,0.0,999.9
289,2016,11,18,48.0,66.9,0.0,999.9
290,2016,8,18,75.0,88.0,0.02,999.9
291,2016,1,13,24.1,45.0,0.0,999.9
292,2016,2,22,39.0,57.0,0.05,999.9
293,2016,12,17,19.0,37.9,0.18,1.2
294,2016,8,26,73.0,91.0,0.01,999.9
295,2016,12,13,35.1,48.0,0.08,999.9
296,2016,12,23,37.0,50.0,0.0,999.9
297,2016,11,11,48.9,63.0,0.0,999.9
298,2016,9,10,75.9,93.0,0.05,999.9
299,2016,12,10,30.9,42.1,0.0,999.9
300,2016,9,27,57.0,75.9,0.15,999.9
301,2016,10,25,48.0,64.0,0.0,999.9
302,2016,1,27,35.1,48.9,0.01,7.1
303,2016,8,23,66.9,84.0,0.0,999.9
304,2016,7,16,77.0,91.9,0.0,999.9
305,2016,5,27,55.0,91.9,0.0,999.9
306,2016,2,5,32.0,57.9,0.31,1.2
307,2016,3,24,44.1,71.1,0.0,999.9
308,2016,8,27,75.9,91.0,0.0,999.9
309,2016,2,28,28.0,61.0,0.0,999.9
310,2015,12,30,34.0,48.0,0.13,999.9
311,2015,1,4,30.9,57.0,0.85,999.9
312,2015,1,8,8.1,25.0,0.0,1.2
313,2015,1,15,17.1,34.0,0.0,999.9
314,2015,1,18,17.1,41.0,0.0,999.9
315,2015,1,19,28.9,43.0,1.98,999.9
316,2015,1,23,28.0,39.0,0.0,999.9
317,2015,1,25,32.0,42.1,0.07,1.2
318,2015,1,30,21.0,37.0,0.07,5.9
319,2015,2,1,12.9,36.0,0.0,5.1
320,2015,2,8,26.1,36.0,0.01,3.9
321,2015,2,9,25.9,35.6,0.03,3.9
322,2015,2,13,9.0,39.9,0.0,3.9
323,2015,2,20,3.0,27.0,0.0,5.1
324,2015,3,6,15.1,41.0,0.38,5.9
325,2015,3,13,30.9,46.9,0.0,999.9
326,2015,3,16,36.0,51.1,0.0,999.9
327,2015,3,20,28.9,42.1,0.0,5.1
328,2015,3,23,24.1,44.1,0.0,999.9
329,2015,3,25,26.1,48.0,0.0,999.9
330,2015,3,29,27.0,46.0,0.0,999.9
331,2015,3,30,27.0,55.0,0.0,999.9
332,2015,4,5,43.0,62.1,0.0,999.9
333,2015,4,9,37.0,46.0,0.0,999.9
334,2015,4,10,39.2,57.2,0.25,999.9
335,2015,4,25,39.0,60.1,0.0,999.9
336,2015,4,29,51.1,75.9,0.0,999.9
337,2015,5,2,48.0,69.1,0.0,999.9
338,2015,5,11,57.0,82.9,0.0,999.9
339,2015,5,12,64.0,87.1,0.0,999.9
340,2015,5,21,53.1,66.0,0.0,999.9
341,2015,5,27,66.9,86.0,0.0,999.9
342,2015,5,28,66.9,84.0,0.02,999.9
343,2015,6,5,54.0,68.0,0.0,999.9
344,2015,6,9,62.1,84.9,0.05,999.9
345,2015,6,13,71.1,88.0,0.0,999.9
346,2015,6,14,68.0,87.1,0.0,999.9
347,2015,6,15,62.6,79.0,0.79,999.9
348,2015,6,17,64.0,79.0,0.34,999.9
349,2015,7,4,66.9,81.0,0.0,999.9
350,2015,7,9,68.0,89.1,0.09,999.9
351,2015,7,10,68.0,84.0,0.29,999.9
352,2015,7,22,71.1,91.9,0.0,999.9
353,2015,7,23,71.1,86.0,0.0,999.9
354,2015,7,30,75.0,95.0,0.0,999.9
355,2015,8,1,73.9,91.0,0.0,999.9
356,2015,8,16,73.9,91.9,0.0,999.9
357,2015,8,17,77.0,93.0,0.0,999.9
358,2015,8,27,68.0,82.9,0.0,999.9
359,2015,9,12,66.0,81.0,0.0,999.9
360,2015,9,15,59.0,84.0,0.0,999.9
361,2015,9,27,55.9,70.0,0.0,999.9
362,2015,10,16,52.0,64.0,0.0,999.9
363,2015,10,18,39.0,55.0,0.0,999.9
364,2015,10,24,41.0,64.9,0.0,999.9
365,2015,11,3,51.1,73.0,0.0,999.9
366,2015,11,15,42.1,59.0,0.0,999.9
367,2015,11,28,46.9,64.9,0.0,999.9
368,2015,12,2,46.0,55.4,0.24,999.9
369,2015,12,4,44.1,55.9,0.0,999.9
370,2015,12,7,39.9,55.0,0.0,999.9
371,2015,12,8,41.0,55.0,0.0,999.9
372,2015,12,13,53.1,66.0,0.0,999.9
373,2015,12,23,50.0,62.1,0.18,999.9
374,2015,12,26,50.0,64.0,0.03,999.9
375,2015,12,28,39.0,62.1,0.02,999.9
376,2015,7,2,70.0,84.9,0.0,999.9
377,2015,8,5,70.0,91.0,0.0,999.9
378,2016,11,7,43.0,60.1,0.0,999.9
379,2016,5,19,55.0,71.1,0.0,999.9
380,2016,2,14,1.0,24.1,0.0,999.9
381,2016,11,3,55.9,75.0,0.0,999.9
382,2016,1,2,34.0,43.0,0.0,999.9
383,2016,4,16,44.1,64.9,0.0,999.9
384,2016,4,15,43.0,63.0,0.0,999.9
385,2016,3,19,37.0,57.0,0.0,999.9
386,2016,11,29,42.1,61.0,0.0,999.9
387,2016,11,14,43.0,64.0,0.0,999.9
388,2016,11,12,39.9,63.0,0.0,999.9
389,2016,6,23,66.9,86.0,0.0,999.9
390,2016,7,4,69.1,86.0,0.0,999.9
391,2016,3,30,39.0,53.1,0.0,999.9
392,2016,6,13,59.0,86.0,0.0,999.9
393,2016,12,29,34.0,48.0,0.0,999.9
394,2016,11,15,48.2,60.1,0.17,999.9
395,2016,11,28,42.1,53.1,0.0,999.9
396,2016,1,14,24.1,39.0,0.0,999.9
397,2016,5,2,44.6,61.0,0.15,999.9
398,2016,11,5,48.0,64.0,0.0,999.9
399,2016,11,17,48.0,64.0,0.0,999.9
400,2016,5,12,53.1,78.1,0.0,999.9
401,2016,12,26,34.0,51.1,0.0,999.9
402,2016,6,7,68.0,87.1,0.0,999.9
403,2016,5,4,48.9,55.0,0.07,999.9
404,2016,9,4,66.0,81.0,0.0,999.9
405,2016,3,7,33.1,61.0,0.0,999.9
406,2016,7,7,77.0,96.1,0.0,999.9
407,2016,8,13,75.9,98.1,0.07,999.9
408,2016,4,25,48.0,68.0,0.0,999.9
409,2016,7,19,75.9,97.0,0.12,999.9
410,2016,12,28,37.9,62.1,0.0,999.9
411,2016,6,24,68.0,84.9,0.0,999.9
412,2016,1,4,21.0,46.9,0.0,999.9
413,2016,1,16,34.0,52.0,0.24,999.9
414,2016,12,14,39.0,45.0,0.0,999.9
415,2016,4,9,37.4,46.9,0.0,999.9
416,2016,12,25,39.9,51.1,0.51,999.9
417,2016,4,10,33.1,50.0,0.07,999.9
418,2016,4,29,48.0,59.0,0.0,999.9
419,2016,8,8,73.9,89.1,0.0,999.9
420,2016,10,23,48.0,64.0,0.07,999.9
421,2016,11,22,39.0,43.0,0.0,999.9
422,2016,3,20,33.1,46.9,0.0,999.9
423,2016,10,22,48.9,71.1,2.05,999.9
424,2016,8,21,75.0,89.1,0.12,999.9
425,2016,5,25,60.1,90.0,0.02,999.9
426,2016,5,31,69.1,86.0,0.0,999.9
427,2016,5,24,55.9,77.0,0.26,999.9
428,2016,9,23,69.1,89.1,0.0,999.9
429,2016,12,1,50.0,61.0,1.01,999.9
430,2016,2,25,36.0,61.0,1.48,999.9
431,2016,6,4,63.0,82.9,0.02,999.9
432,2016,5,28,66.9,91.9,0.0,999.9
433,2016,6,10,55.9,78.1,0.0,999.9
434,2015,3,10,33.1,54.0,0.11,1.2
435,2015,12,31,46.0,48.2,0.17,999.9
436,2015,1,5,28.9,57.0,0.13,999.9
437,2015,2,3,14.0,33.1,0.26,9.1
438,2015,2,4,14.0,39.9,0.0,7.1
